index,MAR,year
1.0,2685957,2011
5.0,1852020,2011
3.0,651822,2011
2.0,215681,2011
4.0,82589,2011
0.0,58079,2011
1.0,2549193,2012
5.0,1924664,2012
3.0,781254,2012
2.0,200761,2012
4.0,81127,2012
0.0,57223,2012
1.0,2425528,2013
5.0,1996045,2013
3.0,896041,2013
2.0,186946,2013
4.0,79688,2013
0.0,56356,2013
1.0,2315453,2014
5.0,2070226,2014
3.0,995969,2014
2.0,174001,2014
4.0,78207,2014
0.0,55487,2014
1.0,2216391,2015
5.0,2141305,2015
3.0,1084629,2015
2.0,162117,2015
4.0,76784,2015
0.0,54702,2015
5.0,2210188,2016
1.0,2125937,2016
3.0,1162555,2016
2.0,150700,2016
4.0,75277,2016
0.0,53895,2016
5.0,2280457,2017
1.0,2044605,2017
3.0,1230769,2017
2.0,140258,2017
4.0,73908,2017
0.0,53098,2017
5.0,2346960,2018
1.0,1969288,2018
3.0,1291317,2018
2.0,130741,2018
4.0,72579,2018
0.0,52285,2018
5.0,2415967,2019
1.0,1901311,2019
3.0,1343944,2019
2.0,122122,2019
4.0,71325,2019
0.0,51541,2019
