year,count
2010,2397
2011,2367
2012,2402
2013,2353
2014,2409
2015,2381
2016,2368
2017,2292
2018,2218
2019,2196
2020,2096
2021,2138
2022,2117
2023,2095
2024,2076
2025,2062
2026,2050
2027,2055
2028,2033
2029,2031
2030,2030
2031,2023
2032,2023
2033,2027
2034,2034
2035,2043
2036,2055
2037,2067
2038,2076
2039,2090
2040,2107
2041,2114
2042,2122
2043,2126
2044,2129
2045,2131
2046,2129
2047,2126
2048,2121
2049,2116
2050,2109
2051,2099
2052,2088
2053,2078
2054,2071
2055,2064
2056,2058
2057,2058
2058,2058
2059,2055
2060,2057
