"year","TAZ","count"
2019,14000100,0
2020,14000100,0
2019,14001100,0
2020,14001100,0
2019,14001200,1077
2020,14001200,1063
2019,14001300,0
2020,14001300,0
2019,14002100,0
2020,14002100,0
2019,14002200,0
2020,14002200,0
2019,14003100,0
2020,14003100,0
2019,14003200,0
2020,14003200,0
2019,14003300,0
2020,14003300,0
2019,14003400,0
2020,14003400,0
2019,14003500,0
2020,14003500,0
2019,14003600,0
2020,14003600,0
2019,14003700,0
2020,14003700,0
2019,14003800,0
2020,14003800,0
2019,14004100,0
2020,14004100,0
2019,14004200,0
2020,14004200,0
2019,14004300,0
2020,14004300,0
2019,14005100,0
2020,14005100,0
2019,14005200,0
2020,14005200,0
2019,14006100,0
2020,14006100,0
2019,14006200,0
2020,14006200,0
2019,14007100,1260
2020,14007100,1244
2019,14007200,0
2020,14007200,0
2019,14007300,0
2020,14007300,0
2019,14008100,0
2020,14008100,0
2019,14009100,0
2020,14009100,0
2019,14010100,0
2020,14010100,0
2019,14010200,0
2020,14010200,0
2019,14010300,362
2020,14010300,357
2019,14010400,0
2020,14010400,0
2019,14011100,0
2020,14011100,0
2019,14011200,0
2020,14011200,0
2019,14012100,0
2020,14012100,0
2019,14012200,367
2020,14012200,363
2019,14013100,0
2020,14013100,0
2019,14013200,0
2020,14013200,0
2019,14013300,0
2020,14013300,0
2019,14014100,0
2020,14014100,0
2019,14014200,0
2020,14014200,0
2019,14014300,0
2020,14014300,0
2019,14015100,0
2020,14015100,0
2019,14015200,0
2020,14015200,0
2019,14016100,0
2020,14016100,0
2019,14016200,0
2020,14016200,0
2019,14016300,0
2020,14016300,0
2019,14017100,0
2020,14017100,0
2019,14017200,59
2020,14017200,58
2019,14018100,0
2020,14018100,0
2019,14018200,0
2020,14018200,0
2019,14019100,0
2020,14019100,0
2019,14019200,0
2020,14019200,0
2019,14019300,1982
2020,14019300,1957
2019,14020100,0
2020,14020100,0
2019,14021100,0
2020,14021100,0
2019,14021200,0
2020,14021200,0
2019,14021300,0
2020,14021300,0
2019,14022100,0
2020,14022100,0
2019,14022200,0
2020,14022200,0
2019,14022300,0
2020,14022300,0
2019,14022400,498
2020,14022400,492
2019,14022500,589
2020,14022500,582
2019,14023100,0
2020,14023100,0
2019,14024100,0
2020,14024100,0
2019,14024200,0
2020,14024200,0
2019,14024300,0
2020,14024300,0
2019,14025100,2181
2020,14025100,2154
2019,14025200,749
2020,14025200,740
2019,14026100,424
2020,14026100,419
2019,14027100,0
2020,14027100,0
2019,14027200,0
2020,14027200,0
2019,14028100,167
2020,14028100,165
2019,14028200,0
2020,14028200,0
2019,14029100,900
2020,14029100,888
2019,14030100,0
2020,14030100,0
2019,14030200,47
2020,14030200,46
2019,14031100,0
2020,14031100,0
2019,14031200,34
2020,14031200,34
2019,14032100,0
2020,14032100,0
2019,14032200,0
2020,14032200,0
2019,14033100,0
2020,14033100,0
2019,14033200,382
2020,14033200,378
2019,14034100,1762
2020,14034100,1739
2019,14034200,657
2020,14034200,649
2019,14035100,0
2020,14035100,0
2019,14036100,581
2020,14036100,574
2019,14036200,0
2020,14036200,0
2019,14037100,0
2020,14037100,0
2019,14037200,0
2020,14037200,0
2019,14038100,0
2020,14038100,0
2019,14039100,0
2020,14039100,0
2019,14039200,531
2020,14039200,525
2019,14040100,815
2020,14040100,805
2019,14040200,0
2020,14040200,0
2019,14041100,0
2020,14041100,0
2019,14041200,0
2020,14041200,0
2019,14042100,799
2020,14042100,789
2019,14042200,0
2020,14042200,0
2019,14043100,258
2020,14043100,254
2019,14043200,0
2020,14043200,0
2019,14043300,0
2020,14043300,0
2019,14044100,116
2020,14044100,114
2019,14044200,375
2020,14044200,371
2019,14045100,0
2020,14045100,0
2019,14045200,470
2020,14045200,464
2019,14046100,0
2020,14046100,0
2019,14047100,0
2020,14047100,0
2019,14047200,0
