"year","TAZ","count"
2019,14000100,715
2020,14000100,704
2019,14001100,6
2020,14001100,6
2019,14001200,6283
2020,14001200,6210
2019,14001300,14
2020,14001300,15
2019,14002100,8
2020,14002100,8
2019,14002200,118
2020,14002200,120
2019,14003100,4
2020,14003100,4
2019,14003200,11
2020,14003200,9
2019,14003300,4
2020,14003300,4
2019,14003400,29
2020,14003400,29
2019,14003500,217
2020,14003500,224
2019,14003600,0
2020,14003600,0
2019,14003700,5
2020,14003700,5
2019,14003800,0
2020,14003800,0
2019,14004100,17
2020,14004100,18
2019,14004200,43
2020,14004200,43
2019,14004300,0
2020,14004300,0
2019,14005100,83
2020,14005100,83
2019,14005200,148
2020,14005200,136
2019,14006100,0
2020,14006100,0
2019,14006200,458
2020,14006200,453
2019,14007100,75
2020,14007100,81
2019,14007200,168
2020,14007200,169
2019,14007300,118
2020,14007300,118
2019,14008100,21
2020,14008100,21
2019,14009100,49
2020,14009100,53
2019,14010100,142
2020,14010100,142
2019,14010200,256
2020,14010200,270
2019,14010300,1664
2020,14010300,1636
2019,14010400,346
2020,14010400,338
2019,14011100,13
2020,14011100,13
2019,14011200,4
2020,14011200,4
2019,14012100,1244
2020,14012100,1236
2019,14012200,867
2020,14012200,869
2019,14013100,4
2020,14013100,4
2019,14013200,120
2020,14013200,128
2019,14013300,105
2020,14013300,104
2019,14014100,50
2020,14014100,52
2019,14014200,28
2020,14014200,26
2019,14014300,61
2020,14014300,60
2019,14015100,16
2020,14015100,12
2019,14015200,5
2020,14015200,5
2019,14016100,37
2020,14016100,36
2019,14016200,17
2020,14016200,20
2019,14016300,22
2020,14016300,22
2019,14017100,18
2020,14017100,18
2019,14017200,212
2020,14017200,203
2019,14018100,215
2020,14018100,210
2019,14018200,49
2020,14018200,49
2019,14019100,1235
2020,14019100,1204
2019,14019200,2346
2020,14019200,2306
2019,14019300,444
2020,14019300,432
2019,14020100,74
2020,14020100,74
2019,14021100,1067
2020,14021100,1082
2019,14021200,4868
2020,14021200,4873
2019,14021300,22
2020,14021300,22
2019,14022100,0
2020,14022100,0
2019,14022200,932
2020,14022200,919
2019,14022300,133
2020,14022300,172
2019,14022400,229
2020,14022400,225
2019,14022500,3062
2020,14022500,3024
2019,14023100,704
2020,14023100,718
2019,14024100,15
2020,14024100,15
2019,14024200,20
2020,14024200,19
2019,14024300,31
2020,14024300,29
2019,14025100,1517
2020,14025100,1491
2019,14025200,1191
2020,14025200,1177
2019,14026100,2876
2020,14026100,2833
2019,14027100,1258
2020,14027100,1263
2019,14027200,1379
2020,14027200,1364
2019,14028100,1631
2020,14028100,1637
2019,14028200,1852
2020,14028200,1827
2019,14029100,1619
2020,14029100,1606
2019,14030100,4
2020,14030100,11
2019,14030200,421
2020,14030200,413
2019,14031100,1677
