married,cohabitated
114225,211558
114111,197837
114983,175251
115510,145703
116019,116214
116499,89338
116077,66075
116973,47553
117577,33908
116959,22785
117539,15657
117732,10508
117732,10508
112480,10619
112795,10448
112890,9785
113022,8874
112604,8133
112828,7066
112488,6160
112324,5254
113269,4573
113269,4573
119734,4907
119734,4907
126937,5394
126434,5673
126667,6309
127416,7411
126766,9131
126929,11367
126678,14626
126387,19473
126412,26209
127078,36189
126431,50836
126288,71459
125633,101365
124459,144393
123490,203646
122314,283808
119309,389774
119309,389774
125780,414208
125780,414208
130533,431793
130533,431793
